Version,Model,Ansatz,Data,Random ID,Learning Rate,Number Qubits,Hidden Size,Sequence Length,Prediction Step,Batch Size,MSE Testing,MSE Validation,MAE Testing,MAE Validation,Correlation Testing,Correlation Validation,Num Parameters,Epochs to Convergance,Total Training Time,Training Loss after 100 epochs,Validation Loss after 100 epochs,Testing Loss after 100 epochs
1.0,vqc,ruexp_X_CZ_CY_CZ_EXY_CZ_X_CZ_CX_EXZ_CY,mackey_1000,0.0,0.001,4.0,,16.0,140.0,64.0,0.0302033275365829,0.0214242320507764,0.1352736800909042,0.1192753463983535,0.6928595304489136,0.8314521312713623,581.0,523.0,1401.82,0.0268683254253119,0.0240938197821378,0.0344452522695064
1.0,vqc,ruexp_Y_CX_Z_EXX_CY_X_CZ_CX_EXZ_X_CZ_EXX,mackey_1000,0.0,0.001,4.0,,4.0,1.0,64.0,1.5214754967018962e-05,1.577212242409587e-05,0.0028612005989998,0.0030192348640412,0.9998799562454224,0.9998791217803956,149.0,1571.0,1236.95,0.0022850083652883,0.0027646371163427,0.0016889821272343
1.0,vqc,ruexp_Y_CX_Z_EXX_CY_X_CZ_CX_EXZ_X_CZ_EXX,mackey_1000,0.0,0.001,4.0,,4.0,70.0,64.0,0.0327346175909042,0.0265245698392391,0.141232892870903,0.1275687217712402,0.6456320881843567,0.7808367013931274,149.0,1399.0,996.28,0.035640151757333,0.0317435674369335,0.0392204970121383
1.0,vqc,ruexp_Y_CX_Z_EXX_CY_X_CZ_CX_EXZ_X_CZ_EXX,mackey_1000,0.0,0.001,4.0,,4.0,140.0,64.0,0.0390593782067298,0.0438636764883995,0.1607208251953125,0.1701901108026504,0.4916877746582031,0.6036276817321777,149.0,892.0,647.65,0.0492142103612422,0.055243894457817,0.0482912063598632
1.0,vqc,ruexp_Y_CX_Z_EXX_CY_X_CZ_CX_EXZ_X_CZ_EXX,mackey_1000,0.0,0.001,4.0,,8.0,1.0,64.0,1.3868254427507054e-05,1.345327927992912e-05,0.0029428037814795,0.0029134422075003,0.9998752474784852,0.999897301197052,293.0,1374.0,2229.37,0.0004890125273959,0.000604792847298,0.0004202491836622
1.0,vqc,ruexp_Y_CX_Z_EXX_CY_X_CZ_CX_EXZ_X_CZ_EXX,mackey_1000,0.0,0.001,4.0,,8.0,70.0,64.0,0.0190520491451025,0.0176477804780006,0.1090514734387397,0.110127605497837,0.8157368898391724,0.8577220439910889,293.0,1105.0,1616.18,0.0247083730581733,0.0237814970314502,0.0311147347092628
1.0,vqc,ruexp_Y_CX_Z_EXX_CY_X_CZ_CX_EXZ_X_CZ_EXX,mackey_1000,0.0,0.001,4.0,,8.0,140.0,64.0,0.0273888316005468,0.0253448653966188,0.1327898800373077,0.1227652728557586,0.6953485608100891,0.7992047071456909,293.0,1446.0,1925.64,0.0383672723546624,0.0382498018443584,0.036270972341299
1.0,vqc,ruexp_Y_CX_Z_EXX_CY_X_CZ_CX_EXZ_X_CZ_EXX,mackey_1000,0.0,0.001,4.0,,16.0,1.0,64.0,9.650795618654229e-06,1.002455610432662e-05,0.0023985295556485,0.0025187849532812,0.9999110102653505,0.999923288822174,581.0,732.0,2486.32,0.0001861406970419,0.0002523532311897,0.0001282627199543
1.0,vqc,ruexp_Y_CX_Z_EXX_CY_X_CZ_CX_EXZ_X_CZ_EXX,mackey_1000,0.0,0.001,4.0,,16.0,70.0,64.0,0.0023722907062619,0.0023601714055985,0.0391984097659587,0.0398414097726345,0.979851007461548,0.982995867729187,581.0,1520.0,4699.85,0.0086137247271835,0.0119784856215119,0.0122122494503855
1.0,vqc,ruexp_Y_CX_Z_EXX_CY_X_CZ_CX_EXZ_X_CZ_EXX,mackey_1000,0.0,0.001,4.0,,16.0,140.0,64.0,0.0222014188766479,0.0219330415129661,0.1126947775483131,0.1223745420575141,0.7784538269042969,0.83519047498703,581.0,410.0,1153.73,0.0247241649776697,0.0225415453314781,0.0346844121813774
1.0,vqc,ruexp_Y_Z_CX_Y_X_CY_CX_CY_EXZ_Y_EXZ_CX,mackey_1000,0.0,0.001,4.0,,4.0,1.0,64.0,1.9039722246816385e-05,2.335362478333991e-05,0.0033625911455601,0.0038002198562026,0.9998262524604796,0.9998198747634888,165.0,2161.0,1814.72,0.0028594894218258,0.0031510235276073,0.0024171557743102
